FILE NAME,label
Lung_Opacity-2658,3
Normal-8603,1
Normal-4813,1
Lung_Opacity-4883,3
COVID-644,0
Normal-8473,1
Normal-3055,1
Normal-5724,1
Normal-9560,1
Normal-5396,1
Normal-9183,1
Normal-4098,1
Viral Pneumonia-485,2
Viral Pneumonia-134,2
Normal-5903,1
Lung_Opacity-4940,3
Normal-538,1
Viral Pneumonia-433,2
COVID-1541,0
Lung_Opacity-58,3
COVID-3087,0
Lung_Opacity-5906,3
Normal-5731,1
Lung_Opacity-950,3
Normal-8209,1
Normal-1995,1
COVID-2517,0
Lung_Opacity-4463,3
Lung_Opacity-2131,3
Normal-6135,1
Normal-8558,1
Normal-3491,1
COVID-1234,0
COVID-1205,0
COVID-2779,0
Lung_Opacity-947,3
COVID-144,0
COVID-456,0
COVID-2089,0
Normal-549,1
Lung_Opacity-4740,3
Viral Pneumonia-982,2
Normal-4552,1
Normal-2193,1
Normal-5835,1
Lung_Opacity-1446,3
Lung_Opacity-2625,3
Normal-8909,1
Normal-9973,1
COVID-2270,0
Lung_Opacity-941,3
Lung_Opacity-86,3
Viral Pneumonia-536,2
Normal-7347,1
Lung_Opacity-4709,3
Lung_Opacity-5564,3
Normal-9104,1
Normal-3973,1
Viral Pneumonia-200,2
Normal-8729,1
COVID-935,0
Lung_Opacity-1003,3
Normal-8657,1
COVID-3323,0
Lung_Opacity-4672,3
Normal-10035,1
Lung_Opacity-3533,3
Normal-1471,1
Lung_Opacity-3771,3
COVID-2389,0
COVID-1738,0
COVID-309,0
Normal-2672,1
COVID-1827,0
Lung_Opacity-1165,3
Lung_Opacity-781,3
Normal-5933,1
COVID-3,0
Lung_Opacity-1300,3
Lung_Opacity-2068,3
Normal-6609,1
COVID-492,0
Lung_Opacity-4447,3
Viral Pneumonia-552,2
Lung_Opacity-4414,3
Normal-563,1
Normal-5972,1
Normal-6656,1
COVID-3045,0
Normal-3197,1
Lung_Opacity-3639,3
Normal-8755,1
Normal-3171,1
