FILE NAME,label
Normal-356,1
Lung_Opacity-1593,3
Normal-4272,1
COVID-2563,0
Lung_Opacity-3499,3
Lung_Opacity-267,3
COVID-2579,0
COVID-143,0
COVID-3319,0
Lung_Opacity-2150,3
Normal-1778,1
Normal-9533,1
Lung_Opacity-1720,3
COVID-831,0
Normal-631,1
Lung_Opacity-4376,3
Normal-6980,1
Lung_Opacity-5687,3
Lung_Opacity-3900,3
COVID-2613,0
COVID-352,0
Normal-6613,1
Normal-8512,1
COVID-2614,0
Lung_Opacity-1501,3
Normal-2930,1
Normal-2275,1
Lung_Opacity-5546,3
Lung_Opacity-5970,3
Lung_Opacity-1255,3
Lung_Opacity-1718,3
Viral Pneumonia-695,2
Normal-8888,1
Normal-5891,1
COVID-2374,0
Viral Pneumonia-360,2
Normal-5361,1
Lung_Opacity-706,3
COVID-1325,0
Normal-552,1
Lung_Opacity-909,3
Normal-661,1
Lung_Opacity-4537,3
Lung_Opacity-646,3
COVID-3084,0
Viral Pneumonia-38,2
COVID-2372,0
Normal-2888,1
Normal-10162,1
Normal-5658,1
Lung_Opacity-5816,3
Normal-5827,1
Normal-102,1
Normal-915,1
Lung_Opacity-4894,3
Normal-60,1
Normal-9040,1
Lung_Opacity-282,3
COVID-3281,0
Lung_Opacity-5214,3
Normal-8973,1
Normal-8481,1
COVID-661,0
Normal-4132,1
Viral Pneumonia-332,2
Normal-6775,1
Normal-4036,1
Normal-1428,1
Lung_Opacity-1800,3
Normal-9764,1
Normal-320,1
Lung_Opacity-3089,3
COVID-154,0
Lung_Opacity-2104,3
Lung_Opacity-5325,3
Lung_Opacity-1760,3
Lung_Opacity-3004,3
Normal-3978,1
Normal-830,1
Normal-4994,1
Lung_Opacity-2339,3
Normal-4344,1
COVID-2885,0
Normal-5534,1
Lung_Opacity-4358,3
Lung_Opacity-5726,3
Lung_Opacity-2319,3
Viral Pneumonia-440,2
Viral Pneumonia-642,2
Normal-8464,1
Normal-4913,1
COVID-268,0
Lung_Opacity-5399,3
COVID-3026,0
Lung_Opacity-5977,3
Normal-1711,1
Normal-9495,1
Normal-1837,1
Normal-9472,1
Normal-1527,1
COVID-615,0
Normal-879,1
Normal-2837,1
Normal-2922,1
COVID-3094,0
Normal-8038,1
Lung_Opacity-1449,3
Lung_Opacity-1650,3
Normal-5040,1
Lung_Opacity-310,3
Normal-6721,1
Lung_Opacity-1780,3
Lung_Opacity-2009,3
Normal-1008,1
Normal-2542,1
Lung_Opacity-1146,3
Normal-2138,1
Normal-3268,1
Lung_Opacity-1546,3
Normal-10113,1
Normal-1916,1
Normal-5853,1
Lung_Opacity-1813,3
Lung_Opacity-1070,3
Lung_Opacity-719,3
COVID-3147,0
Normal-9504,1
Lung_Opacity-2863,3
Normal-5998,1
Lung_Opacity-5781,3
Normal-1494,1
Lung_Opacity-5958,3
Normal-3634,1
Normal-7729,1
Lung_Opacity-4710,3
Viral Pneumonia-208,2
COVID-655,0
Normal-8968,1
Normal-3190,1
Viral Pneumonia-556,2
Normal-2166,1
Normal-9364,1
Lung_Opacity-1996,3
Lung_Opacity-76,3
Lung_Opacity-3935,3
Normal-9915,1
Normal-2577,1
Normal-4065,1
Normal-5345,1
Normal-1177,1
