FILE NAME,label
Lung_Opacity-553,3
Lung_Opacity-4963,3
Normal-2705,1
COVID-1440,0
Lung_Opacity-4798,3
Normal-7895,1
Normal-1830,1
Lung_Opacity-4327,3
COVID-835,0
Normal-8312,1
Normal-9659,1
Normal-2818,1
Normal-7119,1
Lung_Opacity-4958,3
COVID-998,0
Viral Pneumonia-330,2
Normal-5727,1
Normal-5407,1
Lung_Opacity-2733,3
Lung_Opacity-5661,3
COVID-906,0
Lung_Opacity-2278,3
Normal-9268,1
COVID-1696,0
COVID-2140,0
COVID-308,0
Viral Pneumonia-75,2
Normal-6695,1
Viral Pneumonia-932,2
Lung_Opacity-46,3
Lung_Opacity-2430,3
Normal-7692,1
COVID-3584,0
Normal-9888,1
COVID-1926,0
Lung_Opacity-5692,3
Lung_Opacity-925,3
Normal-4442,1
COVID-376,0
COVID-3051,0
Normal-384,1
Normal-9336,1
COVID-1033,0
Lung_Opacity-3036,3
COVID-1143,0
COVID-916,0
COVID-332,0
Normal-2800,1
Lung_Opacity-4258,3
Lung_Opacity-3875,3
Normal-6869,1
Normal-8311,1
Viral Pneumonia-598,2
COVID-2651,0
Lung_Opacity-3961,3
Normal-9101,1
Normal-1468,1
COVID-2587,0
Lung_Opacity-4336,3
Normal-3885,1
Normal-561,1
Lung_Opacity-4797,3
Lung_Opacity-5288,3
Normal-2366,1
Lung_Opacity-1812,3
Normal-7823,1
Normal-6948,1
Lung_Opacity-5026,3
Normal-1179,1
Lung_Opacity-522,3
Normal-2018,1
Lung_Opacity-391,3
COVID-3139,0
Normal-7065,1
Lung_Opacity-3006,3
Normal-6886,1
COVID-2976,0
COVID-3158,0
COVID-3389,0
Normal-6523,1
Normal-7314,1
Normal-8645,1
Normal-5821,1
Normal-7485,1
Lung_Opacity-240,3
Normal-495,1
Normal-8693,1
Normal-6745,1
Lung_Opacity-3731,3
Lung_Opacity-5285,3
Normal-4554,1
Normal-6021,1
Lung_Opacity-4133,3
Normal-2907,1
COVID-2205,0
Normal-7921,1
Lung_Opacity-387,3
Lung_Opacity-3783,3
COVID-1761,0
Lung_Opacity-3672,3
Lung_Opacity-4437,3
COVID-457,0
Lung_Opacity-5696,3
Normal-6031,1
COVID-2349,0
Lung_Opacity-5451,3
Normal-4551,1
COVID-255,0
COVID-1664,0
Lung_Opacity-4603,3
Viral Pneumonia-304,2
COVID-941,0
Normal-3817,1
Normal-6542,1
Lung_Opacity-5486,3
Lung_Opacity-85,3
Viral Pneumonia-251,2
Lung_Opacity-3419,3
Viral Pneumonia-1176,2
Lung_Opacity-4993,3
COVID-1151,0
Lung_Opacity-4099,3
Normal-5957,1
Lung_Opacity-5790,3
Lung_Opacity-1110,3
Normal-7710,1
Normal-7956,1
Normal-831,1
Lung_Opacity-5531,3
COVID-1863,0
Normal-5513,1
Normal-5751,1
Lung_Opacity-5112,3
Lung_Opacity-3190,3
COVID-3366,0
Lung_Opacity-4454,3
Normal-6607,1
Normal-7405,1
Lung_Opacity-252,3
Lung_Opacity-5671,3
Normal-2327,1
Normal-8594,1
Viral Pneumonia-521,2
Lung_Opacity-2098,3
Normal-104,1
Normal-2078,1
Normal-7919,1
Normal-4595,1
COVID-2604,0
Lung_Opacity-5573,3
Lung_Opacity-2900,3
Viral Pneumonia-127,2
Lung_Opacity-3273,3
Lung_Opacity-5982,3
COVID-2764,0
Lung_Opacity-4886,3
Viral Pneumonia-1148,2
Normal-2035,1
Normal-160,1
Lung_Opacity-4015,3
Normal-2852,1
Normal-9395,1
COVID-1238,0
Lung_Opacity-5740,3
Normal-3639,1
Normal-3238,1
