FILE NAME,label
Normal-567,1
COVID-1524,0
Lung_Opacity-3166,3
Normal-1366,1
Lung_Opacity-1732,3
Normal-6594,1
Normal-10042,1
Lung_Opacity-819,3
Normal-3061,1
Lung_Opacity-5780,3
Normal-890,1
Viral Pneumonia-1015,2
Lung_Opacity-5842,3
Viral Pneumonia-648,2
Normal-5404,1
COVID-2809,0
Lung_Opacity-2865,3
COVID-3536,0
Normal-5581,1
Viral Pneumonia-321,2
COVID-1938,0
Lung_Opacity-908,3
Lung_Opacity-4345,3
Lung_Opacity-4489,3
Lung_Opacity-5753,3
COVID-1588,0
Lung_Opacity-5799,3
COVID-704,0
COVID-2731,0
Normal-4518,1
Normal-1592,1
Normal-8744,1
Normal-3475,1
Normal-8646,1
Lung_Opacity-2481,3
COVID-1352,0
COVID-168,0
Normal-4862,1
Normal-7573,1
Lung_Opacity-1902,3
Normal-4408,1
COVID-318,0
Lung_Opacity-5108,3
Lung_Opacity-1160,3
Normal-6639,1
Normal-9850,1
COVID-2254,0
Lung_Opacity-380,3
COVID-1121,0
Lung_Opacity-1890,3
Viral Pneumonia-1203,2
Normal-5227,1
COVID-1118,0
COVID-2473,0
Lung_Opacity-62,3
Lung_Opacity-1005,3
COVID-2224,0
Lung_Opacity-3221,3
COVID-1388,0
COVID-2537,0
Normal-428,1
COVID-3056,0
Lung_Opacity-4282,3
Normal-2679,1
Normal-8292,1
COVID-2185,0
Lung_Opacity-5105,3
Lung_Opacity-5498,3
COVID-2080,0
Normal-1924,1
Lung_Opacity-2543,3
Lung_Opacity-1551,3
Lung_Opacity-577,3
Normal-9529,1
Viral Pneumonia-649,2
Normal-9816,1
Normal-6190,1
Normal-7836,1
Normal-6058,1
Lung_Opacity-5423,3
Normal-1899,1
Normal-3749,1
COVID-2222,0
Viral Pneumonia-217,2
COVID-1456,0
Lung_Opacity-4156,3
COVID-1682,0
COVID-959,0
COVID-2086,0
Normal-5934,1
Normal-578,1
Lung_Opacity-3722,3
Lung_Opacity-3503,3
Lung_Opacity-677,3
Lung_Opacity-4743,3
Normal-3029,1
COVID-3391,0
COVID-3416,0
Viral Pneumonia-895,2
Normal-2463,1
Lung_Opacity-198,3
Normal-6569,1
Normal-7112,1
Normal-6928,1
Viral Pneumonia-1056,2
Lung_Opacity-4103,3
Normal-1919,1
Normal-8500,1
Normal-8435,1
COVID-2868,0
Normal-2518,1
COVID-3221,0
Lung_Opacity-255,3
COVID-2070,0
Lung_Opacity-5319,3
Normal-2993,1
Viral Pneumonia-1194,2
Normal-7266,1
Normal-6398,1
Normal-3771,1
Lung_Opacity-3486,3
Normal-9456,1
Normal-87,1
Lung_Opacity-3294,3
Lung_Opacity-3944,3
Normal-2069,1
Lung_Opacity-1612,3
COVID-1088,0
Lung_Opacity-5496,3
Normal-9193,1
Lung_Opacity-4174,3
Normal-3595,1
Normal-828,1
Lung_Opacity-3182,3
Normal-5930,1
Normal-7651,1
COVID-164,0
Viral Pneumonia-162,2
Lung_Opacity-3339,3
Lung_Opacity-705,3
Normal-23,1
COVID-2755,0
COVID-536,0
Normal-451,1
Lung_Opacity-3283,3
Lung_Opacity-1525,3
Lung_Opacity-5130,3
Normal-8175,1
Normal-2032,1
Normal-2843,1
Viral Pneumonia-729,2
Lung_Opacity-1603,3
Normal-4695,1
Normal-4008,1
COVID-764,0
Normal-8848,1
Normal-115,1
Lung_Opacity-3401,3
Viral Pneumonia-1303,2
Lung_Opacity-5478,3
Viral Pneumonia-423,2
Viral Pneumonia-128,2
Normal-8281,1
COVID-2888,0
COVID-1814,0
Normal-2530,1
Normal-7208,1
Lung_Opacity-519,3
Lung_Opacity-2528,3
Lung_Opacity-3728,3
Normal-1976,1
COVID-2129,0
COVID-2203,0
Lung_Opacity-5656,3
Normal-2341,1
Lung_Opacity-365,3
Normal-4004,1
Lung_Opacity-585,3
COVID-2300,0
Normal-786,1
COVID-2557,0
COVID-3439,0
Lung_Opacity-4736,3
Normal-9293,1
Lung_Opacity-5173,3
Lung_Opacity-3753,3
Normal-8398,1
Viral Pneumonia-795,2
Lung_Opacity-943,3
COVID-2025,0
Lung_Opacity-2707,3
Normal-2917,1
COVID-294,0
Normal-1798,1
Lung_Opacity-2587,3
COVID-2926,0
COVID-2366,0
Lung_Opacity-4936,3
Lung_Opacity-5805,3
Normal-258,1
Lung_Opacity-5514,3
Lung_Opacity-5401,3
Normal-6368,1
COVID-3226,0
Lung_Opacity-3357,3
Lung_Opacity-2140,3
Lung_Opacity-2170,3
Viral Pneumonia-885,2
Lung_Opacity-4509,3
Normal-574,1
Lung_Opacity-57,3
Normal-9319,1
COVID-1960,0
